-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/2004 through 12/31/2004 
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN       CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
CLRSKY_SFC_SW_DWN       CERES SYN1deg Clear Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
ALLSKY_KT               CERES SYN1deg All Sky Insolation Clearness Index (dimensionless) 
ALLSKY_SFC_LW_DWN       CERES SYN1deg All Sky Surface Longwave Downward Irradiance (W/m^2) 
ALLSKY_SFC_PAR_TOT      CERES SYN1deg All Sky Surface PAR Total (W/m^2) 
CLRSKY_SFC_PAR_TOT      CERES SYN1deg Clear Sky Surface PAR Total (W/m^2) 
ALLSKY_SFC_UVA          CERES SYN1deg All Sky Surface UVA Irradiance (W/m^2) 
ALLSKY_SFC_UVB          CERES SYN1deg All Sky Surface UVB Irradiance (W/m^2) 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
WS2M                    MERRA-2 Wind Speed at 2 Meters (m/s) 
T2M                     MERRA-2 Temperature at 2 Meters (C) 
T2MDEW                  MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET                  MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
TS                      MERRA-2 Earth Skin Temperature (C) 
T2M_RANGE               MERRA-2 Temperature at 2 Meters Range (C) 
T2M_MAX                 MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN                 MERRA-2 Temperature at 2 Meters Minimum (C) 
-END HEADER-
LAT,LON,YEAR,DOY,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,ALLSKY_KT,ALLSKY_SFC_LW_DWN,ALLSKY_SFC_PAR_TOT,CLRSKY_SFC_PAR_TOT,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,ALLSKY_SFC_UV_INDEX,WS2M,T2M,T2MDEW,T2MWET,TS,T2M_RANGE,T2M_MAX,T2M_MIN
18.25,103.25,2004,1,18.16,18.83,0.68,339.02,93.8,98.02,11.8,0.29,1.48,0.7,21.03,13.7,17.36,20.81,15.16,29.09,13.93
18.25,103.75,2004,1,18.16,18.83,0.68,339.02,93.8,98.02,11.8,0.29,1.48,0.61,21.43,14.03,17.73,21.38,14.88,29.3,14.42
18.25,104.25,2004,1,18.57,19.11,0.7,325.12,95.12,98.38,12.23,0.3,1.52,0.35,20.14,13.87,17.0,20.18,13.83,27.81,13.98
18.25,104.75,2004,1,18.57,19.11,0.7,325.12,95.12,98.38,12.23,0.3,1.52,0.26,18.46,13.65,16.05,18.49,12.29,25.48,13.2
18.25,105.25,2004,1,17.21,18.91,0.65,352.23,89.08,97.84,11.46,0.28,1.48,0.57,18.08,14.44,16.26,18.09,10.75,24.41,13.67
18.25,105.75,2004,1,17.21,18.91,0.65,352.23,89.08,97.84,11.46,0.28,1.48,1.35,19.41,16.26,17.83,19.42,8.77,24.71,15.94
18.25,106.25,2004,1,16.59,17.96,0.62,369.87,86.86,93.62,10.99,0.27,1.41,2.55,21.58,18.12,19.85,21.61,4.96,24.5,19.55
18.25,106.75,2004,1,16.59,17.96,0.62,369.87,86.86,93.62,10.99,0.27,1.41,3.87,22.6,18.62,20.61,22.89,1.47,23.42,21.95
18.75,103.25,2004,1,18.16,18.83,0.68,339.02,93.8,98.02,11.8,0.29,1.48,0.42,19.14,11.89,15.52,18.27,15.54,27.81,12.27
18.75,103.75,2004,1,18.16,18.83,0.68,339.02,93.8,98.02,11.8,0.29,1.48,0.32,19.54,12.5,16.02,19.19,14.96,27.94,12.99
18.75,104.25,2004,1,18.57,19.11,0.7,325.12,95.12,98.38,12.23,0.3,1.52,0.14,18.42,13.34,15.88,18.24,12.09,25.52,13.43
18.75,104.75,2004,1,18.57,19.11,0.7,325.12,95.12,98.38,12.23,0.3,1.52,0.26,17.83,14.3,16.06,17.5,10.47,24.17,13.71
18.75,105.25,2004,1,17.21,18.91,0.65,352.23,89.08,97.84,11.46,0.28,1.48,0.85,18.68,15.91,17.3,18.36,9.05,24.15,15.11
